1001,"A",9876543210,"Gen","a.1001@gmail.com","1001a","M"
1002,"B",9876543211,"Plus","b.1002@gmail.com","1002b","M"
1003,"C",9876543212,"Gen","c.1003@gmail.com","1003c","F"
1004,"D",9876543213,"Plus","d.1004@gmail.com","1004d","M"
1005,"E",9876543214,"Gen","e.1005@gmail.com","1005e","F"
1006,"F",9876543215,"Plus","f.1006@gmail.com","1006f","F"
1007,"G",9876543216,"Gen","g.1007@gmail.com","1007g","M"
1008,"H",9876543217,"Plus","h.1008@gmail.com","1008h","M"
1009,"I",9876543218,"Gen","i.1009@gmail.com","1009i","F"
1010,"J",9876543219,"Plus","j.1010@gmail.com","1010j","F"

